"Wn","Wheight"
288.098105608009,302.848563330796
239.112450831047,303.672095855086
223.062613564037,281.56593167415
261.67018207831,363.812560334744
202.503979807274,477.419978002488
207.682391975604,324.5073843372
287.978479756276,196.7546026157
256.878383302778,358.855908416981
230.46657143846,329.380907995847
284.623023340402,300.121310454054
286.721460908848,315.796938686914
218.093215284034,385.116606580735
230.138370189719,440.682579397424
250.247852922954,371.03941540908
273.335060626951,292.744354063942
230.996005058785,400.14568203935
257.432443941889,374.682049105404
258.766617453972,372.842457340836
263.751440333998,367.433799147727
247.940570350318,409.371031630568
285.971974754889,313.443591542209
267.614121209392,343.913599120464
261.443991382395,332.732945114864
235.783823904473,365.562986670507
301.010604471236,297.98645629366
246.365714018255,390.698069834336
238.03166697447,374.420407223077
262.087149194779,315.703592947475
253.511021551536,396.183396659855
256.09903951927,343.0514655718
236.500503734095,429.643169001822
258.001173173576,357.149553630149
227.310573699828,342.07395075092
307.197554889585,282.930047507291
296.273715223345,268.8099405348
236.516790435802,435.344740368684
258.785817634505,290.502219257182
244.936807703902,410.015996552839
266.092051679775,308.660968522808
219.55079419801,404.046036152814
309.197342252162,273.606990844271
249.635719420117,407.198421766517
263.030278148997,311.858527129812
242.568436910845,418.290202786619
255.793018713482,381.304963576305
309.038902234162,213.661469035104
228.792996590255,364.882848590704
297.675236200893,227.080859760167
226.513981496049,429.06858761336
201.791287179586,510.895458035758
232.901993603992,437.689490569479
234.504502567475,346.137183790019
248.469786942683,311.163338867206
210.105723657762,357.571094719898
288.085909070299,311.271133385858
215.309879362297,451.056938269365
275.025113282024,338.982358815592
254.403265340453,336.927141086676
227.373315091545,410.492923170149
260.816493838183,310.427244056658
252.143557546249,402.352073680025
248.048015913597,393.22914062846
247.097964206177,412.502302961974
255.245938578951,352.39703670864
239.620442495213,418.055048417988
223.255027607071,459.614256249404
189.100747702353,492.341462288412
250.8201072405,364.058909072076
269.350846388067,366.900611996347
271.527120921402,359.166201639866
297.714935842836,128.102135257265
287.988505219289,317.903862576526
231.767128185514,300.776456355358
221.576445075498,467.564128295224
247.829188259955,384.932835301037
245.542176418786,371.554352775561
195.90393780132,365.598991493663
260.975783469516,343.525830272355
261.509982229479,369.219217202148
237.728494607053,425.412612941783
275.929791557744,350.104205698491
278.972511195065,310.243147879631
313.490975059696,278.478609100303
207.559397512447,331.698557251801
260.828724266329,324.054572879394
256.493829976909,356.73553827859
217.09503313959,476.352403966058
235.549004799367,389.884863134972
282.960355686443,329.556822456418
234.521819802261,240.056811458661
278.194953193901,296.61910302387
237.456839099466,423.151520945271
305.838140662628,253.633769078787
227.689138149744,438.978683917469
215.490378941262,450.068923319942
200.460229851671,484.943540256559
219.79000056986,431.866239486461
240.473232890594,397.073599024247
200.289575235002,495.08562457745
262.74840539002,364.172334484442
233.800138899713,394.251438405947
247.594732381497,333.495836015314
280.168514301065,253.112203135067
195.652908711004,493.526969867921
261.246275650737,380.370848175323
233.650796561904,364.563722237846
200.23069280136,478.253478108828
272.908328182907,307.110832242589
253.354905022723,399.715288213377
250.744573191845,367.593401796849
227.490247314052,294.361917294817
276.256395025645,333.039758948562
254.724831367594,391.040832070414
267.9589035413,359.176738513125
236.635928877318,380.048390915083
229.396163326028,378.293774557397
283.504101698664,269.376887058971
281.450134876679,338.205764390724
243.647045184602,408.747082870227
283.424827227742,307.407857366312
231.635680846502,441.019422315055
208.809920667446,465.893171442608
289.80249642591,321.17821888432
277.105306863601,255.315734066608
267.538788225012,329.84026128481
211.499188598744,421.777114252882
221.87369937061,401.942664535978
198.307577991765,525.791682979067
242.601656858231,406.298603331663
237.333244698113,347.556261779412
218.747197249636,399.104057286872
302.788728452636,246.03848848033
288.839346890994,295.031026283254
245.808760375428,361.826511606713
224.987126763362,448.380419409162
257.5905818106,365.934907654703
231.661292864215,443.692568829798
197.946128575287,511.538546522405
231.148997064066,413.634602203785
279.402216198525,322.100827101873
284.05059543144,277.021085980811
217.074523710402,445.894918499924
240.434266543786,410.750394036637
251.998810560931,376.714396389142
261.325378875497,379.848641353819
252.619499417494,339.515001138332
200.865271681112,466.908612425563
273.296010168022,332.39633874523
165.721834009317,532.016912703826
238.768525266432,393.991575748209
327.229774600659,180.274505287089
204.111247145161,483.426818249207
262.951332991052,361.723669158466
306.654245564028,247.185434038269
248.472870642116,401.573479167843
275.197482201336,204.044702220941
214.801364411816,450.695748919518
211.424670208882,448.028752350173
223.072927259563,461.31767640767
234.083077010541,289.067923020305
295.732227058535,280.727176947425
243.461926507663,399.373656582837
235.994716068019,357.350586570208
175.347364590321,564.89587319085
235.652176723422,354.446149550809
242.166828534904,421.638518807449
266.000481049416,266.267855372717
264.160098949463,341.231435107355
